Статьи доходов и расходов	МВЗ	ЦО3
3115010000	D100651800	D10016
3115010000	D100651900	D10016
3115010000	D100652000	D10016
3115010000	D100652100	D10016
3115010000	D100652200	D10016
3115010000	D100611600	D10016
3115010000	D100611700	D10016
3115010000	D100870000	D10016
3115010000	D100871200	D10016
3115020000	D100650000	D10016
3115020000	D100650200	D10016
3115020000	D100650300	D10016
3115020000	D100650400	D10016
3115020000	D100650500	D10016
3115020000	D100650600	D10016
3115020000	D100650700	D10016
3115020000	D100650800	D10016
3115020000	D100650900	D10016
3115020000	D100651000	D10016
3115020000	D100651100	D10016
3115020000	D100651200	D10016
3115020000	D100651300	D10016
3115020000	D100651400	D10016
3115020000	D100651500	D10016
3115020000	D100651600	D10016
3115020000	D100651700	D10016
3115020000	D100651800	D10016
3115020000	D100651900	D10016
3115020000	D100652000	D10016
3115020000	D100652100	D10016
3115020000	D100652200	D10016
3115020000	D100611600	D10016
3115020000	D100611700	D10016
3115020000	D100870000	D10016
3115020000	D100871200	D10016
3116010000	D100650000	D10016
3116010000	D100650200	D10016
3116010000	D100650300	D10016
3116010000	D100650400	D10016
3116010000	D100650500	D10016
3116010000	D100650600	D10016
3116010000	D100650700	D10016
3116010000	D100650800	D10016
3116010000	D100650900	D10016
3116010000	D100651000	D10016
3116010000	D100651100	D10016
3116010000	D100651200	D10016
3116010000	D100651300	D10016
3116010000	D100651400	D10016
3116010000	D100651500	D10016
3116010000	D100651600	D10016
3116010000	D100651700	D10016
3116010000	D100651800	D10016
3116010000	D100651900	D10016
3116010000	D100652000	D10016
3116010000	D100652100	D10016
3116010000	D100652200	D10016
3116010000	D100611600	D10016
3116010000	D100611700	D10016
3116010000	D100870000	D10016
3116010000	D100871200	D10016
3117010000	D100650000	D10016
3117010000	D100650200	D10016
3117010000	D100650300	D10016
3117010000	D100650400	D10016
3117010000	D100650500	D10016
3117010000	D100650600	D10016
3117010000	D100650700	D10016
3117010000	D100650800	D10016
3117010000	D100650900	D10016
3117010000	D100651000	D10016
3117010000	D100651100	D10016
3117010000	D100651200	D10016
3117010000	D100651300	D10016
3117010000	D100651400	D10016
3117010000	D100651500	D10016
3117010000	D100651600	D10016
3117010000	D100651700	D10016
3117010000	D100651800	D10016
3117010000	D100651900	D10016
3117010000	D100652000	D10016
3117010000	D100652100	D10016
3117010000	D100652200	D10016
3117010000	D100611600	D10016
3117010000	D100611700	D10016
3117010000	D100870000	D10016
3117010000	D100871200	D10016
3118010000	D100650000	D10016
3118010000	D100650200	D10016
3118010000	D100650300	D10016
3118010000	D100650400	D10016
3118010000	D100650500	D10016
3118010000	D100650600	D10016
3118010000	D100650700	D10016
3118010000	D100650800	D10016
3118010000	D100650900	D10016
3118010000	D100651000	D10016
3118010000	D100651100	D10016
3118010000	D100651200	D10016
3118010000	D100651300	D10016
3118010000	D100651400	D10016
3118010000	D100651500	D10016
3118010000	D100651600	D10016
3118010000	D100651700	D10016
3118010000	D100651800	D10016
3118010000	D100651900	D10016
3118010000	D100652000	D10016
3118010000	D100652100	D10016
3118010000	D100652200	D10016
3118010000	D100611600	D10016
3118010000	D100611700	D10016
3118010000	D100870000	D10016
3118010000	D100871200	D10016
3119010000	D100650000	D10007
3119010000	D100650200	D10007
3119010000	D100650300	D10007
3119010000	D100650400	D10007
3119010000	D100650500	D10007
3119010000	D100650600	D10007
3119010000	D100650700	D10007
3119010000	D100650800	D10007
3119010000	D100650900	D10007
3119010000	D100651000	D10007
3119010000	D100651100	D10007
3119010000	D100651200	D10007
3119010000	D100651300	D10007
3119010000	D100651400	D10007
3119010000	D100651500	D10007
3119010000	D100651600	D10007
3119010000	D100651700	D10007
3119010000	D100651800	D10007
3119010000	D100651900	D10007
3119010000	D100652000	D10007
3119010000	D100652100	D10007
3119010000	D100652200	D10007
3119010000	D100611600	D10007
3119010000	D100611700	D10007
3119010000	D100870000	D10007
3119010000	D100871200	D10007
3120010000	D100650000	D10016
3120010000	D100650200	D10016
3120010000	D100650300	D10016
3120010000	D100650400	D10016
3120010000	D100650500	D10016
3120010000	D100650600	D10016
3120010000	D100650700	D10016
3120010000	D100650800	D10016
3120010000	D100650900	D10016
3120010000	D100651000	D10016
3120010000	D100651100	D10016
3120010000	D100651200	D10016
3120010000	D100651300	D10016
3120010000	D100651400	D10016
3120010000	D100651500	D10016
3120010000	D100651600	D10016
3120010000	D100651700	D10016
3120010000	D100651800	D10016
3120010000	D100651900	D10016
3120010000	D100652000	D10016
3120010000	D100652100	D10016
3120010000	D100652200	D10016
3120010000	D100611600	D10016
3120010000	D100611700	D10016
3120010000	D100870000	D10016
3120010000	D100871200	D10016
3201010000	D100650000	D10013
3201010000	D100650200	D10013
3201010000	D100650300	D10013
3201010000	D100650400	D10013
3201010000	D100650500	D10013
3201010000	D100650600	D10013
3201010000	D100650700	D10013
3201010000	D100650800	D10013
3201010000	D100650900	D10013
3201010000	D100651000	D10013
3201010000	D100651100	D10013
3201010000	D100651200	D10013
3201010000	D100651300	D10013
3201010000	D100651400	D10013
3201010000	D100651500	D10013
3201010000	D100651600	D10013
3201010000	D100651700	D10013
3201010000	D100651800	D10013
3201010000	D100651900	D10013
3201010000	D100652000	D10013
3201010000	D100652100	D10013
3201010000	D100652200	D10013
3201010000	D100611600	D10013
3201010000	D100611700	D10013
3201010000	D100870000	D10013
3201010000	D100871200	D10013
3201010100	D100650000	D10013
3201010100	D100650200	D10013
3201010100	D100650300	D10013
3201010100	D100650400	D10013
3201010100	D100650500	D10013
3201010100	D100650600	D10013
3201010100	D100650700	D10013
3201010100	D100650800	D10013
3201010100	D100650900	D10013
3201010100	D100651000	D10013
3201010100	D100651100	D10013
3201010100	D100651200	D10013
